rank,asin,title,brand,category,product_type,deal_price_mxn,basis_price_mxn,basis_price_type,display_discount_pct,calculated_discount_pct,deal_message,deal_end_time,deal_type,percent_claimed,is_lightning_deal,rating,review_count,product_url,image_url,discount_difference_pp,category_clean,is_timed_deal,absolute_savings_mxn,price_band,extracted_at_utc,marketplace,currency
83,B0FML63T72,"LG Monitor Gaming Curvo Ultragear 34'' (3440 x 1440) 160 Hz WQHD, 34G600A-B.AWM, DisplayPort: HDMI, AMD FreeSync™ Premium",LG,gl_pc,MONITOR,6535.0,7999.0,Precio de lista:,18.0,18.30228778597325,Promoción,,BEST_DEAL,,False,4.0,101.0,https://www.amazon.com.mx/LG-Monitor-Ultragear-34G600A-B-AWM-DisplayPort/dp/B0FML63T72,https://m.media-amazon.com/images/I/612qSytiqvL.jpg,0.3022877859732489,Pc,False,1464.0,"$5,000+",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
84,B0FBSX1VCM,"Samsung Galaxy Flip7 FE Negro 128GB | Celular Plegable, Cámara FlexCam 50 MP, FlexWindow con Galaxy AI",Samsung,gl_wireless,CELLULAR_PHONE,11999.0,14249.05,Anterior:,16.0,15.79087728655594,Promoción,,BEST_DEAL,,False,5.0,34.0,https://www.amazon.com.mx/SAMSUNG-Galaxy-Flip7-Black-128GB/dp/B0FBSX1VCM,https://m.media-amazon.com/images/I/51gz-qFrOEL.jpg,0.20912271344406008,Wireless,False,2250.0499999999993,"$5,000+",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
85,B0GNBKR2WY,"Dreamlab Almohada Snow Cloud Pillow 4 Pack| Funda Fría al Tacto, Altura Ajustable, Memory Foam y Microfibras | Firmeza: Media | Hipoalergénica, Certificaciones |4 Piezas Tamaño Estándar (45cm x 64cm)",Dreamlab,gl_home,PILLOW,1247.3,2618.2,Precio de lista:,52.0,52.360400274998085,Promoción,,BEST_DEAL,,False,4.0,7757.0,https://www.amazon.com.mx/Dreamlab-Snow-Cloud-Ajustable-Microfibras/dp/B0GNBKR2WY,https://m.media-amazon.com/images/I/81Uult8cKmL.jpg,0.360400274998085,Home,False,1370.8999999999999,"$1,000–2,499",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
86,B07ZZM1TQP,"Ninja Licuadora Profesional 1000W 2.1L 4 Velocidades + Pulso BL710WM | Total Crushing Tritura Hielo en Nieve | 1000W, Jarra 2.1L | 4 Vel + Pulso | Apto Lavavajillas",Ninja,gl_kitchen,FOOD_BLENDER,1599.0,2499.0,Precio de lista:,36.0,36.014405762304925,Promoción,,BEST_DEAL,,False,5.0,1909.0,https://www.amazon.com.mx/Ninja-Licuadora-BL710WN-1000-Watts/dp/B07ZZM1TQP,https://m.media-amazon.com/images/I/51HUuSgeKRL.jpg,0.014405762304924963,Kitchen,False,900.0,"$1,000–2,499",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
87,B08LQPM1GK,ULTRACHEF Sartén con Revestimiento Antiadherente de Piedra de Alemania 100% libre de PFOA. 28cm,ULTRACHEF,gl_kitchen,SAUTE_FRY_PAN,559.0,799.0,Precio de lista:,30.0,30.037546933667088,Promoción,,BEST_DEAL,,False,4.0,7604.0,https://www.amazon.com.mx/Sart%C3%A9n-Master-Revestimiento-Antiadherente-Alemania/dp/B08LQPM1GK,https://m.media-amazon.com/images/I/816WJ7cdfYL.jpg,0.0375469336670875,Kitchen,False,240.0,$500–999,2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
88,B0C5C29B97,"Philips OneBlade Afeitadora y Recortadora Eléctrica de Barba para Hombre | Recorta, perfila y afeita | Corta el vello, no tu piel | Uso seco y húmedo | Incluye peine ajustable 5 en 1 | QP2724/20",PHILIPS,gl_personal_care_appliances,ELECTRIC_SHAVER,599.0,799.0,Precio de lista:,25.0,25.03128911138924,Promoción,,BEST_DEAL,,False,4.0,6107.0,https://www.amazon.com.mx/Recortadora-Perfiladora-Afeitadora-QP2724-20/dp/B0C5C29B97,https://m.media-amazon.com/images/I/71c67+9DWtL.jpg,0.0312891113892384,Personal Care Appliances,False,200.0,$500–999,2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
89,B0CRTHG7BV,Landmark Collection Edredón/Duvet King Size Hotel de Lujo | Down Alternative/Plumón Alternativo | 100% Algodón | Todas Las Temporadas | Sensación Plumas de Ganso | Oeko-Tex,Landmark Collection,gl_home,BLANKET,2030.12,2849.99,Precio de lista:,29.0,28.767469359541607,Termina en,2026-09-25T05:59:59.000Z,BEST_DEAL,,,4.0,266.0,https://www.amazon.com.mx/Landmark-Collection-Alternativo-Temporadas-Edredones/dp/B0CRTHG7BV,https://m.media-amazon.com/images/I/61WryehCdtL.jpg,0.23253064045839267,Home,True,819.8699999999999,"$1,000–2,499",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
90,B0DB1YCCSC,"Jouica Sujetador sin Aros para Mujer Brasier Cobertura Completa Todos Días | Sin Aros,Sin Varillas,deportivo,bralettes,everyday,push up,sin costuras,comfort support,soporte,superior inalámbrico,seamless",Jouica,gl_apparel,BRA,255.86,427.0,Precio de lista:,40.0,40.07962529274005,Termina en,2026-09-25T05:59:59.000Z,BEST_DEAL,,False,4.0,1035.0,https://www.amazon.com.mx/Jouica-Sujetador-Cobertura-Deportivo-Acolchado/dp/B0DB1YCCSC,https://m.media-amazon.com/images/I/61sVUFviDAL.jpg,0.07962529274004737,Apparel,True,171.14,Under $500,2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
91,B0FY3XZ8S7,"Samsung Galaxy Tab S10 FE+ Plata 128GB con S-Pen, Pantalla 13.1''",Samsung,gl_pc,TABLET_COMPUTER,7999.0,12599.0,Precio de lista:,37.0,36.510834193189936,Promoción,,BEST_DEAL,,False,4.0,89.0,https://www.amazon.com.mx/Samsung-Galaxy-Plata-128GB-Pantalla/dp/B0FY3XZ8S7,https://m.media-amazon.com/images/I/51J7k1m6wiL.jpg,0.48916580681006394,Pc,False,4600.0,"$5,000+",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
92,B075VX4QVM,"La Roche-Posay Hyalu B5 Suractivated Serum Concentrado Anti-arrugas 30ml | Serum Dermatológico, Anti-arrugas, Rellema y Repara, para Todos Los Tipos de Piel, con Ácido Hialurónico y Vitamina B5",La Roche-Posay,gl_beauty,SKIN_SERUM,708.9,1299.0,Precio de lista:,45.0,45.42725173210162,Promoción,,BEST_DEAL,,False,5.0,32172.0,https://www.amazon.com.mx/Concentrado-Anti-arrugas-Reparador-Rellenador-Hialur%C3%B3nico/dp/B075VX4QVM,https://m.media-amazon.com/images/I/51Ja5o9errL.jpg,0.4272517321016167,Beauty,False,590.1,$500–999,2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
